name,current_version,latest_version,security_issues
@babel/plugin-transform-computed-properties,7.16.7,Unknown,No
@babel/plugin-transform-destructuring,7.17.7,Unknown,No
@babel/plugin-transform-dotall-regex,7.16.7,Unknown,No
@babel/plugin-transform-duplicate-keys,7.16.7,Unknown,No
@babel/plugin-transform-exponentiation-operator,7.16.7,Unknown,No
@babel/plugin-transform-for-of,7.16.7,Unknown,No
@babel/plugin-transform-function-name,7.16.7,Unknown,No
@babel/plugin-transform-literals,7.16.7,Unknown,No
@babel/plugin-transform-member-expression-literals,7.16.7,Unknown,No
@babel/plugin-transform-modules-amd,7.16.7,Unknown,No
@babel/plugin-transform-modules-commonjs,7.17.9,Unknown,No
@babel/plugin-transform-modules-systemjs,7.17.8,Unknown,No
@babel/plugin-transform-modules-umd,7.16.7,Unknown,No
@babel/plugin-transform-named-capturing-groups-regex,7.16.8,Unknown,No
@babel/plugin-transform-new-target,7.16.7,Unknown,No
@babel/plugin-transform-object-super,7.16.7,Unknown,No
@babel/plugin-transform-parameters,7.16.7,Unknown,No
@babel/plugin-transform-property-literals,7.16.7,Unknown,No
@babel/plugin-transform-react-display-name,7.16.7,Unknown,No
@babel/plugin-transform-react-jsx-development,7.16.7,Unknown,No
@babel/plugin-transform-react-jsx,7.17.3,Unknown,No
@babel/plugin-transform-react-pure-annotations,7.16.7,Unknown,No
@babel/plugin-transform-regenerator,7.17.9,Unknown,No
@babel/plugin-transform-reserved-words,7.16.7,Unknown,No
@babel/plugin-transform-shorthand-properties,7.16.7,Unknown,No
@babel/plugin-transform-spread,7.16.7,Unknown,No
@babel/plugin-transform-sticky-regex,7.16.7,Unknown,No
@babel/plugin-transform-template-literals,7.16.7,Unknown,No
@babel/plugin-transform-typeof-symbol,7.16.7,Unknown,No
@babel/plugin-transform-typescript,7.16.8,Unknown,No
@babel/plugin-transform-unicode-escapes,7.16.7,Unknown,No
@babel/plugin-transform-unicode-regex,7.16.7,Unknown,No
@babel/preset-flow,7.16.7,Unknown,No
@babel/preset-modules,0.1.5,Unknown,No
@babel/template,7.16.7,Unknown,No
@babel/traverse,7.17.9,Unknown,No
@commitlint/cli,16.2.3,Unknown,No
@commitlint/types,16.2.1,Unknown,No
@cspotcode/source-map-support,0.7.0,Unknown,No
@discoveryjs/json-ext,0.5.7,Unknown,No
@eslint/eslintrc,1.2.1,Unknown,No
@graphql-tools/code-file-loader,7.3.15,Unknown,No
@graphql-tools/graphql-tag-pluck,7.4.2,Unknown,No
@graphql-tools/utils,9.1.3,Unknown,No
@graphql-typed-document-node/core,3.1.2,Unknown,No
